,Number,Names
340175,340176, Friendly staff very helpful Excellent food Looked after us very well we will be going back in the summer This trip was 23 26 Jan 16 
340188,340189, The staff were very polite and friendly
340202,340203, The staff was really helpful and we really enjoy our stay
340216,340217, Friendly helpful staff Great bar and quirky decorations Easy to get into the centre of Amsterdam 
340222,340223, Helpful friendly staff great facilities great food clean and even though a few kilometers from centre good tram and train links to Airport and City 
340250,340251, very friendly staff very close to the airport 
340256,340257, Courteous knowledgeable friendly staff 
340263,340264, Relaxing atmosphere friendly staff close to airport and city centre
340274,340275, Besides the great comfortable beds the staff is really amazing 
340287,340288, Wonderful stay great staff service 
340294,340295, Close to very nice park close to airport very clean very nice helpful staff
340297,340298, The staff was very helpful and friendly Britt who worked the front desk even ordered us a pizza 
340314,340315, comfort friendliness of staff convenience of links to the city
340323,340324, Bed was very comfy and staff and service were brilliant 
340329,340330, Hard bed friendly staff nice facilities
340331,340332, The staff is lovely and the facilities are excellent 
340339,340340, Very comforatable and staff excellent 
340354,340355, The staff are amazing here super friendly and went above beyond to help us This really made a difference for our stay and as a result I will always book The Hoxton when travelling on business in the future 
340363,340364, The sleep quality of the bed was very good The staff could not have been more welcoming and helpful 
340367,340368, really nice experience Friendly staff welcoming and comfort atmosphere nice lounge and all the details in order 
340373,340374, The comfortable atmosphere and energy of staff genuine and friendly
340378,340379, The free breakfast bags in the morning to kick start your day the staff were amazing and never had any problems with any request asked of them 
340416,340417, Excellent value for money on laundry dry cleaning and the staff were wonderful very informative 
340481,340482, Walking into a completely cosy welcoming environment Good food and booze and incredibly friendly helpful but relaxed staff 
340495,340496, Reception staff absolutely incredible very welcoming
340520,340521, Looks good Styling is cool Great atmosphere in the lobby Friendky and good looking staff 
340546,340547, We had a great view of the canal The staff were fantastic along with the accommodations that were given to us 
340554,340555, The vibe in the bar And the friendly staff
340574,340575, Mattress is too soft staff very helpful
340576,340577, The staff were amazing so friendly and helpful The chilled out atmosphere instantly put me in holiday mode 
340582,340583, The staff was helpful enjoyed the bonus of the breakfast bag 
340605,340606, Great professional staff very helpful 
340623,340624, Friendly staff nothing was to much trouble Made our honeymoon stay very special with some nice personal touches 
340634,340635, Loved the decor ambience and staff were super helpful 
340642,340643, The level of service of all the staff nothing to much
340648,340649, the staff were particularly nice but low key which I liked
340669,340670, Comfortable bed excellent shower friendly helpful staff
340680,340681, Brilliant comfortable king size beds Reception staff were very welcoming and informative 
340699,340700, Great staff fantastic lounge bar
340704,340705, Fantastic stay at the Hoxton staff were very helpful and made us feel very welcime
340710,340711, Your service was excellent would defo recommend people to stay at the Hoxton Service and staff was excellent 10 10 service
